Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"1","","Almond Round","","S",0.9,0,1.29,0,"3",0,N,N,N,Y,"Cake",,"",S
"3","","Apple turnover","","S",0.9,0,1.29,0,"",0,N,N,N,Y,"Cake",,"",S
"2","","Apple round","","S",0.9,0,1.29,0,"",0,N,N,N,Y,"Cake",,"",S
"4","","Fruit jam tart","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"5","","Madaria cake","","S",1.3,0,1.7,0,"",0,N,N,N,Y,"Cake",,"",S
"6","","Almond finger","","S",0.85,0,1.19,0,"",0,N,N,N,Y,"Cake",,"",S
"7","","Party Waffers cacao","","S",1.2,0,1.69,0,"",0,N,N,N,Y,"Cake",,"",S
"8","","Party wafers hazelnut","","S",1.2,0,1.69,0,"",0,N,N,N,Y,"Cake",,"",S
"9","","Party wafers plaisir ","","S",1.2,0,1.69,0,"",0,N,N,N,Y,"Cake",,"",S
"10","","Elledi waffles d-pack cacao","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"11","","Elledi waffles d-pack hazelnut","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"12","","Elledi waffles d-pack vanilla","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"13","","Elledi waffles d-pack lemon","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"14","","Cookie selection","","S",1.25,0,1.79,0,"",0,N,N,N,Y,"Cake",,"",S
"15","","Wafers selection","","S",1.25,0,1.79,0,"",0,N,N,N,Y,"Cake",,"",S
"16","","Balconi chocolate desert","","S",1.5,0,1.99,0,"",0,N,N,N,Y,"Cake",,"",S
"20","","Balconi trancetto cacao","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"18","","Balconi s.roll capucino","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"19","","Balconi s.roll cacao","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"17","","Balconi tiramisu","","S",1.5,0,1.99,0,"",0,N,N,N,Y,"Cake",,"",S
"21","","Balconi trancetto strawberry","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"22","","Balconi trancetto choco&late","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"23","","Balconi snack & latte","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"24","","Balconi mix max cacao","","S",1.4,0,1.89,0,"",0,N,N,N,Y,"Cake",,"",S
"25","","Balconi mix milk","","S",1.4,0,1.89,0,"",0,N,N,N,Y,"Cake",,"",S
"26","","Tasty cherry & walnut","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"27","","Tasty carrots","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"28","","Tasty farmhouse","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"29","","Shell madeleines","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"30","","Karmens delight","","S",1.5,0,1.99,0,"",0,N,N,N,Y,"Cake",,"",S
"31","","Sultana fingers","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"32","","Marble fingers","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"33","","Soft waffles","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"34","","Fruit slice","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"35","","Coconut slice","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"36","","Jam mallows","","S",1.15,0,1.59,0,"",0,N,N,N,Y,"Cake",,"",S
"37","","Peanuts cookies","","S",0.9,0,1.29,0,"",0,N,N,N,Y,"Cake",,"",S
"38","","Cocoanut rings plane","","S",0.8,0,1.09,0,"",0,N,N,N,Y,"Cake",,"",S
"39","","Chocorings","","S",0.8,0,1.09,0,"",0,N,N,N,Y,"Cake",,"",S
"40","","Apricots biscuits","","S",1.15,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"42","","Strawberry puff","","S",0.75,0,0.99,0,"",0,N,N,N,Y,"Cake",,"",S
"43","","Syrup waffles","","S",1.3,0,1.89,0,"",0,N,N,N,Y,"Cake",,"",S
"44","","Coronet strawberry","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"45","","Coronet chocolate","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"46","","Brioche rolls veg fat","","S",1.5,0,1.99,0,"",0,N,N,N,Y,"Cake",,"",S
"47","","Brioche rolls chocolate","","S",1.5,0,1.99,0,"",0,N,N,N,Y,"Cake",,"",S
"48","","Puff pastry twist","","S",1.2,0,1.79,0,"",0,N,N,N,Y,"Cake",,"",S
"49","","Puff pastry palmaritas","","S",1.2,0,1.79,0,"",0,N,N,N,Y,"Cake",,"",S
"50","","5 pack chocolate croissant","","S",1.1,0,1.59,0,"",0,N,N,N,Y,"Cake",,"",S
"51","","5 pack custard croissant","","S",1.1,0,1.59,0,"",0,N,N,N,Y,"Cake",,"",S
"52","","3 pack double chocolate muffin","","S",1.05,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"53","","3 pack chinky cherry muffin","","S",1.05,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"54","","3 pack choc chip muffins","","S",1.05,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"55","","4 pack muffin","","S",1.2,0,1.69,0,"",0,N,N,N,Y,"Cake",,"",S
"56","","Bakewell tart","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"58","","Farm house tart","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"59","","Chocolate fudge tart","","S",1.1,0,1.49,0,"",0,N,N,N,Y,"Cake",,"",S
"60","","Dhl marble","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"61","","Dhl lemon","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"62","","Dhl square","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"63","","Dhl traditional","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"64","","Dhl fairy cake","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"65","","White pitta bread","","S",0.55,0,0.79,0,"",0,N,N,N,Y,"Cake",,"",S
"66","","Brown pitta bread","","S",0.55,0,0.79,0,"",0,N,N,N,Y,"Cake",,"",S
"67","","Tortilla","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"68","","French buguettes","","S",0.75,0,0.99,0,"",0,N,N,N,Y,"Cake",,"",S
"69","","Plain buns","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"70","","Sesame buns","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"71","","Hotdog rolls","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"72","","Mega buns","","S",1,0,1.39,0,"",0,N,N,N,Y,"Cake",,"",S
"73","","Garlic bread","","S",0.75,0,0.99,0,"",0,N,N,N,Y,"Cake",,"",S
"74","","Single muffin x20","","S",9,0,0.69,0,"",0,N,N,N,Y,"Cake",,"",S
"75","","Baklava","","S",1.25,0,1.79,0,"",0,N,N,N,Y,"Cake",,"",S
"76","","Mcv all butter shortbread 12X200g","","S",10,0,1.19,0,"",0,N,N,N,Y,"Biscuits",,"",S
"77","","Mcv classic rich tea 12X200g £1pm","","S",8,5.6,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"78","","Mcv fruit shortcake 12X200g £1pm","","S",8,5.6,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"79","","Mcv the original digestive 12X300g £1pm","","S",8,5.6,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"80","","Mcv hobnobs nobly 12X300g £1pm","","S",8,5.6,1,0,"",0,N,N,N,Y,"Biscuits",,"",S
"81","","Mcv hobnobs milk chocolate 12X300g £1.75pm","","S",12,9.05,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"82","","Mcv caramel 12X300g £1.75pm","","S",12,9.05,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"83","","Mcv orange 12X300g £1.75pm","","S",12,9.05,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"84","","Mcv ginger nuts 12X250g £1pm","","S",8,5.6,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"85","","Mcv cookies choch chip12X150g £1pm","","S",8,5.6,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
